,id,name,url,urls_site,dr,da,cf,tf,obl,dom,traffic,price,pa,max_links,max_links_groups,lang_filter,category_filter,create_groups,ip,promoted,offer,in_front_page,is_new,created_at,status,TrType,type
0,2430,Cronica Global El Español,https://cronicaglobal.elespanol.com/,https://prensarank.com/,85,92,63,33,885,22148,546607,395,57,2,2,,,1,51.210.0.138,1,0,0,False,2018-04-15T19:23:08.000000Z,enabled,periódico,newspaper
1,2770,Metropoli Abierta El Español,https://metropoliabierta.elespanol.com/,https://prensarank.com/,85,92,59,28,302,3503,352003,245,47,2,2,,,1,144.76.175.200,1,0,0,False,2021-09-27T16:21:00.000000Z,enabled,periódico,newspaper
2,2149,i Leon,https://ileon.eldiario.es/,https://prensarank.com/,84,89,63,28,1727,2079,68617,290,49,4,3,,,1,185.18.17.19,0,0,0,False,2017-01-27T00:41:23.000000Z,enabled,periódico,newspaper
3,3324,Semana,https://www.semana.com/,https://prensarank.com/,82,87,52,29,9437,50070,7901509,3425,63,2,2,,,1,,1,0,0,False,2023-02-24T11:17:34.000000Z,enabled,periódico,newspaper
4,2039,La Voz de Galicia,https://www.lavozdegalicia.es/,https://prensarank.com/,81,88,60,61,2283,48235,2309963,830,65,1,1,,,0,77.27.236.100,1,0,0,False,2016-10-17T14:47:08.000000Z,enabled,periódico,newspaper
5,3102,El Financiero MX,https://www.elfinanciero.com.mx/,https://prensarank.com/,80,81,64,60,5273,42592,5927235,4130,62,2,2,,,1,,1,0,0,False,2022-11-09T07:21:31.000000Z,enabled,periódico,newspaper
6,2173,Publico,http://www.publico.es,https://prensarank.com/,80,88,62,33,23511,64862,2581549,1805,68,3,3,,,1,178.249.8.92,1,0,0,False,2017-02-13T00:02:18.000000Z,enabled,periódico,newspaper
7,2060,El Diario de Cantabria,https://eldiariocantabria.publico.es/,https://prensarank.com/,80,88,60,28,2719,2890,81648,270,52,4,3,,,1,104.22.4.10,0,0,0,False,2016-10-18T19:12:06.000000Z,enabled,periódico,newspaper
8,3265,Perfil,https://www.perfil.com/,https://prensarank.com/,79,88,58,54,9932,22049,3247605,655,63,3,3,,,1,,0,0,0,False,2023-01-17T11:54:11.000000Z,enabled,periódico,newspaper
9,3154,Diario Vasco,https://www.diariovasco.com/,https://prensarank.com/,77,79,53,60,160,20624,3457053,1955,62,2,2,,,1,,0,0,0,False,2022-11-25T08:08:40.000000Z,enabled,periódico,newspaper
