,id,nombre,url_link,url_site,DA,DF,DR,PA,UR,trust_flow,is_mine,is_offer,max_links,peffer_pvp,ppvp,visits_month,sponsored_mark,language,blog_topics,country,link_type,medioTematico,medioTipo,model
0,2135,ABC,https://www.abc.es/,https://panel.teblogueo.com/medios,93.0,66.0,,72.0,,77.0,False,False,1.0,4142.66,4657.66,59800000.0,False,,,,,,,blogs.blog
1,5005,Público,https://www.publico.es/,https://panel.teblogueo.com/medios,91.0,33.0,,68.0,,64.0,False,False,1.0,3627.66,3627.66,13100000.0,False,,,,,,,blogs.blog
2,5004,El Diario,https://www.eldiario.es/,https://panel.teblogueo.com/medios,89.0,70.0,,67.0,,49.0,False,False,1.0,2906.66,2906.66,26100000.0,False,,,,,,,blogs.blog
3,2517,Vanguard News,https://www.vanguardngr.com,https://panel.teblogueo.com/medios,86.0,66.0,,66.0,,61.0,False,False,2.0,311.06,331.66,4240000.0,True,,,,,,,blogs.blog
4,3120,Beforeitsnews,https://beforeitsnews.com,https://panel.teblogueo.com/medios,75.0,52.0,,64.0,,26.0,False,False,2.0,280.16,300.76,9700000.0,False,,,,,,,blogs.blog
5,3148,Somos Tetuán - El Diario,https://eldiario.es/madrid/somos/tetuan,https://panel.teblogueo.com/medios,89.0,66.0,,64.0,,48.0,False,False,3.0,269.86,311.06,25800000.0,True,,,,,,,blogs.blog
6,3149,Somos Madrid - El Diario,https://www.eldiario.es/madrid/somos/,https://panel.teblogueo.com/medios,89.0,66.0,,64.0,,48.0,False,False,3.0,311.06,383.16,52300000.0,True,,,,,,,blogs.blog
7,4994,Muy Interesante,https://www.muyinteresante.es/,https://panel.teblogueo.com/medios,87.0,57.0,,63.0,,55.0,False,False,1.0,2597.66,2597.66,3240000.0,False,,,,,,,blogs.blog
8,5001,COPE,https://www.cope.es/,https://panel.teblogueo.com/medios,81.0,60.0,,63.0,,64.0,False,False,1.0,1567.66,1567.66,10300000.0,False,,,,,,,blogs.blog
9,5076,Guía Infantil,https://www.guiainfantil.com/,https://panel.teblogueo.com/medios,91.0,25.0,,62.0,,44.0,False,False,1.0,3627.66,3627.66,3330000.0,False,,,,,,,blogs.blog
10,301,ValueWalk,https://www.valuewalk.com,https://panel.teblogueo.com/medios,85.0,56.0,,61.0,,49.0,False,False,4.0,527.36,537.66,223500.0,False,,,,,,,blogs.blog
11,5002,Onda Cero,https://www.ondacero.es/,https://panel.teblogueo.com/medios,79.0,54.0,,61.0,,61.0,False,False,1.0,1464.66,1464.66,4570000.0,False,,,,,,,blogs.blog
12,3281,Hipertextual,https://hipertextual.com/,https://panel.teblogueo.com/medios,93.0,44.0,,60.0,,23.0,False,False,1.0,1258.66,1258.66,5800000.0,True,,,,,,,blogs.blog
13,3936,Okdiario,https://okdiario.com/,https://panel.teblogueo.com/medios,90.0,59.0,,60.0,,26.0,False,False,1.0,2597.66,2597.66,26700000.0,False,,,,,,,blogs.blog
14,5015,Barchart,https://www.barchart.com,https://panel.teblogueo.com/medios,61.0,63.0,,60.0,,59.0,False,False,1.0,537.66,640.66,12500000.0,False,,,,,,,blogs.blog
15,3119,The Fashionisto,https://www.thefashionisto.com,https://panel.teblogueo.com/medios,70.0,35.0,,59.0,,26.0,False,False,2.0,269.86,269.86,193200.0,False,,,,,,,blogs.blog
16,4762,Big News Network,https://www.bignewsnetwork.com,https://panel.teblogueo.com/medios,66.0,58.0,,59.0,,28.0,False,False,1.0,156.56,177.16,74300.0,False,,,,,,,blogs.blog
17,5017,Italia Oggi,https://www.italiaoggi.it/,https://panel.teblogueo.com/medios,68.0,32.0,,59.0,,34.0,False,False,1.0,826.06,846.66,376000.0,False,,,,,,,blogs.blog
18,5983,telestar.fr,https://www.telestar.fr/,https://panel.teblogueo.com/medios,80.0,59.0,,59.0,,46.0,False,False,1.0,4142.66,4152.96,,False,,,,,,,blogs.blog
19,5455,sitepronews.com,https://www.sitepronews.com/,https://panel.teblogueo.com/medios,59.0,41.0,,58.0,,25.0,False,False,1.0,187.46,208.06,,False,,,,,,,blogs.blog
20,6900,La Crónica de Hoy,https://www.cronica.com.mx/,https://panel.teblogueo.com/medios,80.0,,,58.0,,,False,False,1.0,74.16,120.51,2070000.0,False,,,,,,,blogs.blog
21,605,La Voz de Galicia (Home),https://www.lavozdegalicia.es,https://panel.teblogueo.com/medios,90.0,61.0,,57.0,,41.0,False,False,2.0,1876.66,1876.66,13600000.0,True,,,,,,,blogs.blog
22,610,Sabe Bien,https://www.lavozdegalicia.es/gastronomia/,https://panel.teblogueo.com/medios,90.0,61.0,,57.0,,41.0,False,False,2.0,589.16,609.76,13600000.0,False,,,,,,,blogs.blog
23,2980,La Voz de Galicia (sección tecnología),https://www.lavozdegalicia.es,https://panel.teblogueo.com/medios,90.0,61.0,,57.0,,41.0,False,False,2.0,434.66,434.66,13600000.0,True,,,,,,,blogs.blog
24,2986,La Voz de Galicia (secciones),https://www.lavozdegalicia.es,https://panel.teblogueo.com/medios,90.0,61.0,,57.0,,41.0,False,False,2.0,846.66,1258.66,13600000.0,True,,,,,,,blogs.blog
25,3050,El Español - El Bernabéu,https://www.elespanol.com/elbernabeu/,https://panel.teblogueo.com/medios,93.0,71.0,,57.0,,64.0,False,False,1.0,269.86,269.86,41100000.0,False,,,,,,,blogs.blog
26,4425,Bolsamania.com,https://www.bolsamania.com,https://panel.teblogueo.com/medios,81.0,53.0,,57.0,,51.0,False,False,1.0,1464.66,1670.66,,True,,,,,,,blogs.blog
27,4508,Libertad Digital,https://www.libertaddigital.com/,https://panel.teblogueo.com/medios,89.0,59.0,,57.0,,57.0,False,False,1.0,537.66,537.66,39300000.0,False,,,,,,,blogs.blog
28,5078,Con Mis Hijos,https://www.conmishijos.com/,https://panel.teblogueo.com/medios,79.0,46.0,,57.0,,21.0,False,False,1.0,1464.66,1464.66,2170000.0,False,,,,,,,blogs.blog
29,5966,topsante.com,https://www.topsante.com/,https://panel.teblogueo.com/medios,80.0,58.0,,57.0,,48.0,False,False,1.0,6202.66,6212.96,,False,,,,,,,blogs.blog
30,565,Periodista Digital,https://www.periodistadigital.com,https://panel.teblogueo.com/medios,82.0,55.0,,56.0,,60.0,False,False,2.0,280.16,331.66,7600000.0,False,,,,,,,blogs.blog
31,1612,Confidencial Digital,https://www.elconfidencialdigital.com/,https://panel.teblogueo.com/medios,86.0,55.0,,56.0,,59.0,False,False,3.0,177.16,228.66,,True,,,,,,,blogs.blog
32,2668,Crónica Global,https://cronicaglobal.elespanol.com/,https://panel.teblogueo.com/medios,93.0,4.0,,56.0,,0.0,False,False,2.0,357.41,367.71,1500000.0,True,,,,,,,blogs.blog
33,2916,Tercera Informacion,https://www.tercerainformacion.es/,https://panel.teblogueo.com/medios,65.0,44.0,,56.0,,46.0,False,False,2.0,125.66,125.66,88200.0,False,,,,,,,blogs.blog
34,3127,Laprogressive,https://www.laprogressive.com,https://panel.teblogueo.com/medios,64.0,41.0,,56.0,,23.0,False,False,2.0,227.63,259.56,33700.0,False,,,,,,,blogs.blog
35,3350,Diario De Avisos (Canarias en red),https://diariodeavisos.elespanol.com/canariasenred/,https://panel.teblogueo.com/medios,93.0,0.0,,56.0,,0.0,False,False,2.0,94.76,115.36,3950000.0,False,,,,,,,blogs.blog
36,5003,Estadio Deportivo,https://www.estadiodeportivo.com/,https://panel.teblogueo.com/medios,78.0,45.0,,56.0,,20.0,False,False,1.0,1258.66,1258.66,3130000.0,False,,,,,,,blogs.blog
37,5081,The Epoch Times Español,https://es.theepochtimes.com,https://panel.teblogueo.com/medios,89.0,54.0,,56.0,,50.0,False,False,1.0,177.16,228.66,105000.0,False,,,,,,,blogs.blog
38,6250,Varese News,https://www.varesenews.it/,https://panel.teblogueo.com/medios,67.0,0.0,,56.0,,0.0,False,False,2.0,249.26,249.26,2960000.0,False,,,,,,,blogs.blog
39,6817,Space Coast Daily,https://spacecoastdaily.com/,https://panel.teblogueo.com/medios,75.0,54.0,,56.0,,25.0,False,False,1.0,218.36,228.66,,False,,,,,,,blogs.blog
40,1274,Cooperativa,https://www.cooperativa.cl/,https://panel.teblogueo.com/medios,89.0,54.0,,55.0,,50.0,False,False,2.0,434.66,537.66,9700000.0,True,,,,,,,blogs.blog
41,2134,facilisimo,https://facilisimo.com,https://panel.teblogueo.com/medios,81.0,46.0,,55.0,,40.0,False,False,4.0,434.66,640.66,1500000.0,False,,,,,,,blogs.blog
42,2137,La verdad,https://www.laverdad.es/,https://panel.teblogueo.com/medios,81.0,55.0,,55.0,,56.0,False,False,1.0,4142.66,4348.66,34600000.0,False,,,,,,,blogs.blog
43,3104,Homify US,https://homify.com,https://panel.teblogueo.com/medios,54.0,74.0,,55.0,,22.0,False,False,2.0,434.66,486.16,49100.0,True,,,,,,,blogs.blog
44,4908,"Coches,com",https://www.coches.com/,https://panel.teblogueo.com/medios,78.0,48.0,,55.0,,23.0,False,False,2.0,846.66,846.66,2000000.0,False,,,,,,,blogs.blog
45,4997,Marie Claire,https://www.marie-claire.es/,https://panel.teblogueo.com/medios,75.0,46.0,,55.0,,30.0,False,False,1.0,1876.66,1876.66,897000.0,False,,,,,,,blogs.blog
46,5068,Mejor con Salud,https://mejorconsalud.as.com/,https://panel.teblogueo.com/medios,86.0,43.0,,55.0,,16.0,False,False,1.0,1773.66,1773.66,972000.0,False,,,,,,,blogs.blog
47,5069,La Mente es Maravillosa,https://lamenteesmaravillosa.com/,https://panel.teblogueo.com/medios,89.0,54.0,,55.0,,19.0,False,False,1.0,1464.66,1464.66,2670000.0,False,,,,,,,blogs.blog
