,id,url,CF,DA,DR,IV,OBL,PA,RD,TF,Tráfico web/mes,pais,patrocinado,price,region,tipoMedio,langsselect,categoriesselect
0,1,http://paroleinfuga.altervista.org,0,1,90,0,0.0,1,0.0,0,0.0,Italia,Sí,40,,Prensa y blogs,,
1,2,https://quadlayers.com,52,37,90,0,1.017,52,26.893,37,3.917,Estados Unidos de América,No,560,,Prensa y blogs,,
2,3,https://lemagsportauto.ouest-france.fr/,53,93,90,0,1.996,48,4.643,21,162.44,Francia,No,490,,Prensa y blogs,,
3,4,https://wheon.com,42,45,90,0,5.576,48,7.296,25,459.483,Estados Unidos de América,Sí,210,,Prensa y blogs,,
4,5,https://odigital.sapo.pt,30,93,88,1,576.0,51,2.224,24,2.341,Portugal,No,375,,Prensa y blogs,,
5,6,https://blogs.oregonstate.edu/,44,88,88,0,16.9,57,5.283,33,4.458,Reino Unido,Sí,240,,Prensa y blogs,,
6,7,https://knowledgehubs.site123.me,7,90,87,0,73.0,58,572.0,0,0.0,Estados Unidos de América,Sí,240,,Prensa y blogs,,
7,8,https://www.lepoint.fr,67,91,86,28,22.677,68,91.779,67,1.701,Francia,Sí,3850,,Prensa y blogs,,
8,9,https://gracethemes.com,47,40,86,0,2.675,54,11.918,41,1.371,Estados Unidos de América,Sí,220,,Prensa y blogs,,
9,10,https://cronicavasca.elespanol.com,52,92,85,0,14.0,43,388.0,23,10.773,España,Sí,490,,Prensa y blogs,,
10,11,https://fangwallet.com,44,53,85,0,1.918,57,15.325,17,2.109,Estados Unidos de América,Sí,240,,Prensa y blogs,,
11,12,https://www.elespanol.com/eldigitalcastillalamancha/,71,92,85,1,40.504,64,62.472,64,7.641,España,No,840,,Prensa y blogs,,
12,13,https://metropoliabierta.elespanol.com/,57,92,85,0,187.0,47,3.226,24,239.52,España,Sí,340,,Prensa y blogs,,
13,14,http://www.latribune.fr,63,87,85,0,0.0,65,15.984,66,392.445,Francia,Sí,1960,,Prensa y blogs,,
14,15,https://www.futura-sciences.com/,49,90,85,146,23.111,66,42.292,59,2.508,Francia,Sí,1540,,Prensa y blogs,,
15,16,https://www.meinbezirk.at,46,76,84,219,66.554,61,22.77,35,1.204,Austria,Sí,320,,Prensa y blogs,,
16,17,https://underconstructionpage.com,48,59,82,0,3.324,54,6.679,41,1.477,Estados Unidos de América,Sí,305,,Prensa y blogs,,
17,18,https://www.lavozdegalicia.es/somosagro/,61,88,81,0,2.37,65,44.545,60,2.559,España,Sí,644,,Prensa y blogs,,
18,19,https://www.lavozdegalicia.es/lavozdelasalud/,61,88,81,0,2.37,65,44.545,60,2.559,España,Sí,960,,Prensa y blogs,,
19,20,https://www.milenio.com,44,92,81,6,0.0,67,105.77,38,3.145,México,No,950,,Prensa y blogs,,
20,21,http://tucasabonita.es,13,28,16,0,0.0,44,267.0,4,608.0,España,No,32,,Prensa y blogs,,
21,22,https://hiramnoriega.com,11,33,19,0,0.0,37,1.266,7,29.831,México,No,18,,Prensa y blogs,,
22,23,https://www.eslife.es,31,36,0,0,2.163,40,2.219,8,0.0,España,No,58,,Prensa y blogs,,
23,24,https://lomascuarentaycinco.com/,29,17,6,0,4.084,35,326.0,9,19.0,España,No,18,,Prensa y blogs,,
24,25,https://www.hora.es,34,43,40,0,2.701,49,993.0,16,5.849,España,No,58,,Prensa y blogs,,
25,26,https://www.aedn.es,19,46,0,0,1.879,43,689.0,27,0.0,España,No,58,,Prensa y blogs,,
26,27,https://eldigitaldeasturias.com/magazine365/,35,44,52,0,2.001,40,432.0,16,134.0,España,No,30,,Prensa y blogs,,
27,28,http://porquepuedo.net,16,23,11,0,21.0,27,169.0,4,932.0,España,No,10,,Prensa y blogs,,
28,29,https://www.trucos-trucos.com/,26,28,25,0,818.0,29,137.0,11,173.0,España,No,22,,Prensa y blogs,,
29,30,https://21noticias.com,37,37,43,0,4.786,39,1.108,15,460.0,España,No,50,,Prensa y blogs,,
30,31,https://www.eldigitaldeasturias.com/noticias/,35,44,52,0,2.352,38,2.038,16,115.0,España,No,24,,Prensa y blogs,,
31,32,https://www.mipuntodevista.com.mx,31,45,37,0,5.824,37,710.0,13,535.0,México,No,24,,Prensa y blogs,,
32,33,http://valencianoticias.com/,10,45,45,0,0.0,41,266.0,13,1.413,España,No,90,Comunidad Valenciana,Prensa y blogs,,
33,34,https://www.mediterraneodigital.com,21,56,47,0,790.0,51,2.907,11,8.721,España,No,90,,Prensa y blogs,,
34,35,https://europadigital.es,21,35,49,0,1.966,37,1.556,11,852.0,España,No,58,,Prensa y blogs,,
35,36,https://inspirahogar.com/,27,52,47,0,51.0,50,6.213,19,11.55,España,No,140,,Prensa y blogs,,
36,37,https://www.edy.com.mx/,31,34,28,0,1.328,47,2.281,34,22.955,México,No,20,,Prensa y blogs,,
37,38,https://viajerosonline.eu/,32,35,25,0,1.486,36,1.08,9,91.0,España,No,20,,Prensa y blogs,,
38,39,https://estamosseguros.eu/,28,25,12,0,1.234,33,266.0,6,92.0,España,No,17,,Prensa y blogs,,
39,40,https://www.diaridetarragona.com/,48,68,71,1,62.0,56,8.204,52,178.658,España,Sí,255,Cataluña,Prensa y blogs,,
40,41,https://www.pyme.es,27,30,19,0,1.455,33,441.0,11,491.0,España,No,30,,Prensa y blogs,,
41,42,https://25minutos.es/,8,30,4,0,24.0,28,275.0,4,11.0,España,No,26,,Prensa y blogs,,
42,43,https://www.regiondigital.com/,45,53,63,0,1.685,49,4.442,43,2.489,España,No,85,Extremadura,Prensa y blogs,,
43,44,https://objetivocastillalamancha.es,15,42,46,0,858.0,41,1.846,13,1.352,España,No,80,Castilla-La Mancha,Prensa y blogs,,
44,45,https://empresasyproductos.com/,24,55,23,0,707.0,39,583.0,12,64.0,España,No,17,,Prensa y blogs,,
45,46,https://lacomparacion.com,27,63,41,0,773.0,48,8.214,8,8.967,España,No,40,,Prensa y blogs,,
46,47,https://guiaarquitectura.com/,19,25,13,0,758.0,29,303.0,16,277.0,España,No,50,,Prensa y blogs,,
47,48,https://www.construccion-manualidades.com/,24,40,18,0,776.0,33,269.0,9,2.757,México,No,20,,Prensa y blogs,,
48,49,https://www.ingenieria.es,22,28,19,0,1.335,32,437.0,11,342.0,España,No,30,,Prensa y blogs,,
49,50,https://reformasenmalaga.eu/,29,22,2,0,868.0,35,310.0,6,73.0,España,No,20,Andalucía,Prensa y blogs,,
